INDEX	KEYVALUE	LABEL	RED	GREEN	BLUE	ALPHA	HEMISPHERE	NETWORK	NETWORKKEY	NETWORKSORTEDORDER	GLASSERLABELNAME
153	153	Visual2-47_L-Ctx	100	0	255	255	L	Visual2	2	66	L_VMV1_ROI
154	154	Visual2-48_L-Ctx	100	0	255	255	L	Visual2	2	67	L_VMV3_ROI
155	155	Default-71_L-Ctx	255	0	0	255	L	Default	9	505	L_PHA2_ROI
156	156	Visual2-49_L-Ctx	100	0	255	255	L	Visual2	2	68	L_V4t_ROI
157	157	Visual2-50_L-Ctx	100	0	255	255	L	Visual2	2	69	L_FST_ROI
158	158	Visual2-51_L-Ctx	100	0	255	255	L	Visual2	2	70	L_V3CD_ROI
159	159	Visual2-52_L-Ctx	100	0	255	255	L	Visual2	2	71	L_LO3_ROI
160	160	Visual2-53_L-Ctx	100	0	255	255	L	Visual2	2	72	L_VMV2_ROI
161	161	Default-72_L-Ctx	255	0	0	255	L	Default	9	506	L_31pd_ROI
162	162	Default-73_L-Ctx	255	0	0	255	L	Default	9	507	L_31a_ROI
163	163	Visual2-54_L-Ctx	100	0	255	255	L	Visual2	2	73	L_VVC_ROI
164	164	Default-74_L-Ctx	255	0	0	255	L	Default	9	508	L_25_ROI
165	165	Default-75_L-Ctx	255	0	0	255	L	Default	9	509	L_s32_ROI
166	166	Orbito-Affective-06_L-Ctx	65	125	0	168	L	Orbito-Affective	12	627	L_pOFC_ROI
167	167	Cingulo-Opercular-52_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	226	L_PoI1_ROI
168	168	Somatomotor-39_L-Ctx	0	255	255	255	L	Somatomotor	3	155	L_Ig_ROI
