INDEX	KEYVALUE	LABEL	RED	GREEN	BLUE	ALPHA	HEMISPHERE	NETWORK	NETWORKKEY	NETWORKSORTEDORDER	GLASSERLABELNAME
312	312	Default-29_R-Ctx	255	0	0	255	R	Default	9	540	R_TE1a_ROI
313	313	Frontoparietal-21_R-Ctx	255	255	0	255	R	Frontoparietal	7	403	R_TE1p_ROI
314	314	Default-30_R-Ctx	255	0	0	255	R	Default	9	541	R_TE2a_ROI
315	315	Ventral-Multimodal-02_R-Ctx	255	157	0	255	R	Ventral-Multimodal	11	620	R_TF_ROI
316	316	Dorsal-Attention-08_R-Ctx	0	255	0	255	R	Dorsal-Attention	5	298	R_TE2p_ROI
317	317	Dorsal-Attention-09_R-Ctx	0	255	0	255	R	Dorsal-Attention	5	299	R_PHT_ROI
318	318	Visual2-18_R-Ctx	100	0	255	255	R	Visual2	2	91	R_PH_ROI
319	319	Language-08_R-Ctx	0	155	155	255	R	Language	6	349	R_TPOJ1_ROI
320	320	Posterior-Multimodal-03_R-Ctx	177	89	40	255	R	Posterior-Multimodal	10	581	R_TPOJ2_ROI
321	321	Posterior-Multimodal-04_R-Ctx	177	89	40	255	R	Posterior-Multimodal	10	582	R_TPOJ3_ROI
322	322	Visual1-03_R-Ctx	0	0	255	255	R	Visual1	1	6	R_DVT_ROI
323	323	Dorsal-Attention-10_R-Ctx	0	255	0	255	R	Dorsal-Attention	5	300	R_PGp_ROI
324	324	Frontoparietal-22_R-Ctx	255	255	0	255	R	Frontoparietal	7	404	R_IP2_ROI
325	325	Frontoparietal-23_R-Ctx	255	255	0	255	R	Frontoparietal	7	405	R_IP1_ROI
326	326	Dorsal-Attention-11_R-Ctx	0	255	0	255	R	Dorsal-Attention	5	301	R_IP0_ROI
327	327	Cingulo-Opercular-23_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	253	R_PFop_ROI
328	328	Cingulo-Opercular-24_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	254	R_PF_ROI
329	329	Frontoparietal-24_R-Ctx	255	255	0	255	R	Frontoparietal	7	406	R_PFm_ROI
330	330	Default-31_R-Ctx	255	0	0	255	R	Default	9	542	R_PGi_ROI
331	331	Default-32_R-Ctx	255	0	0	255	R	Default	9	543	R_PGs_ROI
332	332	Visual2-19_R-Ctx	100	0	255	255	R	Visual2	2	92	R_V6A_ROI
333	333	Visual2-20_R-Ctx	100	0	255	255	R	Visual2	2	93	R_VMV1_ROI
334	334	Visual2-21_R-Ctx	100	0	255	255	R	Visual2	2	94	R_VMV3_ROI
335	335	Default-33_R-Ctx	255	0	0	255	R	Default	9	544	R_PHA2_ROI
336	336	Visual2-22_R-Ctx	100	0	255	255	R	Visual2	2	95	R_V4t_ROI
337	337	Visual2-23_R-Ctx	100	0	255	255	R	Visual2	2	96	R_FST_ROI
338	338	Visual2-24_R-Ctx	100	0	255	255	R	Visual2	2	97	R_V3CD_ROI
339	339	Visual2-25_R-Ctx	100	0	255	255	R	Visual2	2	98	R_LO3_ROI
340	340	Visual2-26_R-Ctx	100	0	255	255	R	Visual2	2	99	R_VMV2_ROI
341	341	Default-34_R-Ctx	255	0	0	255	R	Default	9	545	R_31pd_ROI
342	342	Frontoparietal-25_R-Ctx	255	255	0	255	R	Frontoparietal	7	407	R_31a_ROI
343	343	Visual2-27_R-Ctx	100	0	255	255	R	Visual2	2	100	R_VVC_ROI
344	344	Default-35_R-Ctx	255	0	0	255	R	Default	9	546	R_25_ROI
345	345	Default-36_R-Ctx	255	0	0	255	R	Default	9	547	R_s32_ROI
346	346	Orbito-Affective-03_R-Ctx	65	125	0	168	R	Orbito-Affective	12	630	R_pOFC_ROI
347	347	Cingulo-Opercular-25_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	255	R_PoI1_ROI
348	348	Somatomotor-20_R-Ctx	0	255	255	255	R	Somatomotor	3	175	R_Ig_ROI
349	349	Cingulo-Opercular-26_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	256	R_FOP5_ROI
350	350	Frontoparietal-26_R-Ctx	255	255	0	255	R	Frontoparietal	7	408	R_p10p_ROI
351	351	Frontoparietal-27_R-Ctx	255	255	0	255	R	Frontoparietal	7	409	R_p47r_ROI
352	352	Language-09_R-Ctx	0	155	155	255	R	Language	6	350	R_TGv_ROI
353	353	Auditory-05_R-Ctx	250	62	251	255	R	Auditory	8	458	R_MBelt_ROI
354	354	Auditory-06_R-Ctx	250	62	251	255	R	Auditory	8	459	R_LBelt_ROI
355	355	Auditory-07_R-Ctx	250	62	251	255	R	Auditory	8	460	R_A4_ROI
356	356	Default-37_R-Ctx	255	0	0	255	R	Default	9	548	R_STSva_ROI
357	357	Frontoparietal-28_R-Ctx	255	255	0	255	R	Frontoparietal	7	410	R_TE1m_ROI
358	358	Cingulo-Opercular-27_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	257	R_PI_ROI
359	359	Cingulo-Opercular-28_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	258	R_a32pr_ROI
360	360	Cingulo-Opercular-29_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	259	R_p24_ROI
