X,ROI_Pair,Network_Pair,Network_Pair_Index,Reproducibility_rfMRI
36653,Pair_68_272,Network_9_7,60,0.295369809
36654,Pair_69_272,Network_9_7,60,0.32418945
36655,Pair_70_272,Network_9_7,60,0.360281143
36656,Pair_71_272,Network_9_7,60,0.33271265
36657,Pair_72_272,Network_9_7,60,0.330445093
36658,Pair_73_272,Network_7_7,58,0.374315337
36659,Pair_74_272,Network_6_7,52,0.322898298
36660,Pair_75_272,Network_6_7,52,0.29893325
36661,Pair_76_272,Network_9_7,60,0.341110858
36662,Pair_77_272,Network_7_7,58,0.340484441
36663,Pair_78_272,Network_4_7,37,0.387866183
36664,Pair_79_272,Network_6_7,52,0.3346499
36665,Pair_80_272,Network_7_7,58,0.384508041
36666,Pair_81_272,Network_6_7,52,0.359608081
36667,Pair_82_272,Network_7_7,58,0.389512689
36668,Pair_83_272,Network_7_7,58,0.438274545
36669,Pair_84_272,Network_4_7,37,0.427230517
36670,Pair_85_272,Network_7_7,58,0.389125151
36671,Pair_86_272,Network_4_7,37,0.336358798
36672,Pair_87_272,Network_9_7,60,0.347365441
36673,Pair_88_272,Network_9_7,60,0.463547023
36674,Pair_89_272,Network_7_7,58,0.317934188
36675,Pair_90_272,Network_9_7,60,0.400391898
36676,Pair_91_272,Network_7_7,58,0.375703007
36677,Pair_92_272,Network_7_7,58,0.334006596
36678,Pair_93_272,Network_9_7,60,0.489079179
36679,Pair_94_272,Network_9_7,60,0.285439983
36680,Pair_95_272,Network_5_7,45,0.362356506
36681,Pair_96_272,Network_5_7,45,0.221080355
36682,Pair_97_272,Network_7_7,58,0.305634639
36683,Pair_98_272,Network_7_7,58,0.338717867
36684,Pair_99_272,Network_4_7,37,0.379770297
36685,Pair_100_272,Network_3_7,28,0.373395814
36686,Pair_101_272,Network_3_7,28,0.308821253
36687,Pair_102_272,Network_3_7,28,0.25530787
36688,Pair_103_272,Network_8_7,59,0.226108857
36689,Pair_104_272,Network_8_7,59,0.286152167
36690,Pair_105_272,Network_4_7,37,0.388120571
36691,Pair_106_272,Network_4_7,37,0.268600377
36692,Pair_107_272,Network_8_7,59,0.221734005
36693,Pair_108_272,Network_4_7,37,0.371831996
36694,Pair_109_272,Network_4_7,37,0.272164327
36695,Pair_110_272,Network_12_7,63,0.181001004
36696,Pair_111_272,Network_7_7,58,0.245125887
36697,Pair_112_272,Network_12_7,63,0.173776007
36698,Pair_113_272,Network_4_7,37,0.362969738
36699,Pair_114_272,Network_4_7,37,0.289462622
36700,Pair_115_272,Network_3_7,28,0.193520723
36701,Pair_116_272,Network_5_7,45,0.303229991
36702,Pair_117_272,Network_5_7,45,0.39653775
36703,Pair_118_272,Network_9_7,60,0.386169906
36704,Pair_119_272,Network_9_7,60,0.268161705
36705,Pair_120_272,Network_9_7,60,0.303091292
36706,Pair_121_272,Network_1_7,7,0.265556521
36707,Pair_122_272,Network_11_7,62,0.414055065
36708,Pair_123_272,Network_6_7,52,0.323712681
36709,Pair_124_272,Network_8_7,59,0.249015711
36710,Pair_125_272,Network_6_7,52,0.322568236
36711,Pair_126_272,Network_9_7,60,0.283494899
36712,Pair_127_272,Network_5_7,45,0.231856138
36713,Pair_128_272,Network_6_7,52,0.342285293
36714,Pair_129_272,Network_6_7,52,0.272041735
36715,Pair_130_272,Network_9_7,60,0.339701601
36716,Pair_131_272,Network_9_7,60,0.418575003
36717,Pair_132_272,Network_9_7,60,0.466246425
36718,Pair_133_272,Network_7_7,58,0.431051016
36719,Pair_134_272,Network_9_7,60,0.444967563
36720,Pair_135_272,Network_11_7,62,0.415143879
36721,Pair_136_272,Network_5_7,45,0.301820696
36722,Pair_137_272,Network_5_7,45,0.422417246
36723,Pair_138_272,Network_2_7,18,0.398513889
36724,Pair_139_272,Network_6_7,52,0.309207605
36725,Pair_140_272,Network_10_7,61,0.360673104
36726,Pair_141_272,Network_10_7,61,0.284885442
36727,Pair_142_272,Network_1_7,7,0.292113641
36728,Pair_143_272,Network_5_7,45,0.282899767
36729,Pair_144_272,Network_7_7,58,0.384758287
36730,Pair_145_272,Network_7_7,58,0.41406648
36731,Pair_146_272,Network_5_7,45,0.296626858
36732,Pair_147_272,Network_4_7,37,0.425233667
36733,Pair_148_272,Network_4_7,37,0.455218036
36734,Pair_149_272,Network_7_7,58,0.356510506
36735,Pair_150_272,Network_9_7,60,0.327662648
36736,Pair_151_272,Network_9_7,60,0.32046922
36737,Pair_152_272,Network_2_7,18,0.288555355
36738,Pair_153_272,Network_2_7,18,0.237883596
36739,Pair_154_272,Network_2_7,18,0.225591803
36740,Pair_155_272,Network_9_7,60,0.226980855
36741,Pair_156_272,Network_2_7,18,0.219188829
36742,Pair_157_272,Network_2_7,18,0.357639884
36743,Pair_158_272,Network_2_7,18,0.250498245
36744,Pair_159_272,Network_2_7,18,0.265414114
36745,Pair_160_272,Network_2_7,18,0.200769998
36746,Pair_161_272,Network_9_7,60,0.304597211
36747,Pair_162_272,Network_9_7,60,0.321747334
36748,Pair_163_272,Network_2_7,18,0.266048617
36749,Pair_164_272,Network_9_7,60,0.440190313
36750,Pair_165_272,Network_9_7,60,0.398188045
36751,Pair_166_272,Network_12_7,63,0.462805928
36752,Pair_167_272,Network_4_7,37,0.272652302
36753,Pair_168_272,Network_3_7,28,0.219207069
36754,Pair_169_272,Network_4_7,37,0.262147365
36755,Pair_170_272,Network_7_7,58,0.315110809
36756,Pair_171_272,Network_7_7,58,0.37640619
36757,Pair_172_272,Network_6_7,52,0.464060302
36758,Pair_173_272,Network_8_7,59,0.231942737
36759,Pair_174_272,Network_8_7,59,0.315471053
36760,Pair_175_272,Network_8_7,59,0.361498444
36761,Pair_176_272,Network_9_7,60,0.371274301
36762,Pair_177_272,Network_9_7,60,0.504177812
36763,Pair_178_272,Network_4_7,37,0.208930053
36764,Pair_179_272,Network_4_7,37,0.216523608
36765,Pair_180_272,Network_4_7,37,0.301088561
